,loan_paid_back,education_level,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,income_to_loan_ratio,utilization_ratio,education_encoded,employment_encoded
29,1,Bachelor's,1501.2,Employed,0.21,702,11345.92,13.82,60,262.94,5,30467.37,27089.2,0,0,1,1.5877425541516246,10.669460475255988,0,0
30,1,PhD,4037.81,Employed,0.2,610,5285.92,10.52,60,113.67,1,32166.14,21365.3,5,0,7,9.166563247268215,7.9706051145707875,4,0
31,0,Other,2328.7,Self-employed,0.13,553,6268.32,15.01,36,217.32,3,40793.67,23122.33,2,0,3,4.458036603108967,6.801740564161058,3,2
32,1,Bachelor's,1043.07,Employed,0.56,818,10469.04,10.09,36,338.25,6,20412.01,17283.32,3,0,3,1.1956053277091307,10.160676973997171,0,0
33,1,Bachelor's,2072.06,Employed,0.11,629,6321.47,9.89,36,203.65,5,23358.63,18679.74,4,0,4,3.933376255839227,9.596319647171088,0,0
34,0,Other,2854.07,Employed,0.09,685,10673.12,11.68,36,352.87,7,45509.72,21928.41,0,1,1,3.208887373139251,5.78208171792751,3,0
35,1,Bachelor's,5317.14,Employed,0.2,657,22298.23,14.12,36,763.4,7,61717.59,54000.53,4,0,4,2.861468376637967,10.49954089263693,0,0
36,0,Other,3974.96,Unemployed,0.22,806,23171.53,7.34,36,719.08,5,75385.65,47058.83,3,0,5,2.058539941039716,7.490894619864656,3,4
37,1,PhD,3890.38,Employed,0.1,717,13275.22,13.28,36,449.09,6,36244.87,9210.08,0,0,0,3.5166694035955715,3.049285595451163,4,0
38,1,High School,4660.56,Self-employed,0.09,727,20613.2,13.75,60,476.97,4,77521.8,6832.02,0,0,2,2.713150796576951,1.057563678861946,1,2
39,1,High School,1107.98,Employed,0.12,623,13225.93,15.11,36,459.19,4,12599.76,8654.39,3,0,3,1.0052797799474216,8.242433189203604,1,0
40,1,Bachelor's,6385.57,Employed,0.15,750,8606.43,11.97,36,285.73,8,115966.9,6219.9,3,0,4,8.903440799495261,0.6436215851247209,0,0
41,1,Master's,6395.7,Retired,0.16,759,2284.88,10.14,36,73.88,5,116481.63,42562.91,1,0,1,33.589685235110814,4.38485381772216,2,1
42,1,Master's,2096.09,Self-employed,0.04,719,17789.74,14.53,36,612.6,5,40551.35,12079.77,2,0,2,1.4139093657355306,3.5746587968094774,2,2
43,0,Bachelor's,501.58,Unemployed,0.1,602,26387.55,16.3,36,931.62,5,9863.04,9349.22,0,0,1,0.2280984782596338,11.37485400038933,0,4
44,1,High School,6719.53,Self-employed,0.24,693,22884.38,8.01,60,464.12,4,76328.19,53751.23,5,0,6,3.5235544943756394,8.450544418778959,1,2
45,1,High School,580.76,Employed,0.21,727,23939.96,10.73,60,517.29,4,8478.63,496.35,4,0,5,0.2911082558199763,0.7024955682698739,1,0
46,1,Other,3797.62,Employed,0.14,714,8316.32,11.87,60,184.45,5,70307.77,9683.34,0,0,1,5.4797602785847594,1.6527345412889642,3,0
47,1,Bachelor's,2308.97,Employed,0.07,673,10351.45,14.6,36,356.81,8,35407.59,25604.13,2,0,2,2.6766916712151434,8.677505585666802,0,0
48,1,Bachelor's,2109.52,Employed,0.11,608,21421.74,14.44,60,503.35,4,24710.54,7157.97,1,0,2,1.1817079284876018,3.476072963197081,0,0
49,0,PhD,2335.12,Employed,0.18,697,10606.79,12.62,36,355.45,7,33526.47,1683.26,3,0,3,2.6418398026170027,0.6024827546711597,4,0
50,1,Master's,3277.01,Employed,0.17,593,15284.49,16.08,36,537.96,7,46987.9,15402.09,3,0,3,2.5728120467218734,3.9334611676623132,2,0
51,1,Bachelor's,836.04,Employed,0.1,643,19958.98,13.91,60,463.48,10,15232.58,1401.49,2,0,2,0.5026549452927955,1.1040729804143488,0,0
52,0,Bachelor's,2699.08,Unemployed,0.44,598,18787.69,17.06,36,670.39,6,40836.89,32116.05,4,0,4,1.7239458390041564,9.437364108775178,0,4
53,1,Master's,1284.79,Employed,0.09,665,500.0,13.79,36,17.04,7,26456.98,3470.3,4,0,7,30.83496,1.574011848669047,2,0
54,1,Bachelor's,2236.66,Employed,0.04,658,33869.0,16.64,36,1201.46,4,38585.5,20053.96,2,0,3,0.7924627240249195,6.236734524627127,0,0
55,1,Bachelor's,3335.06,Employed,0.07,655,23131.95,14.15,60,540.04,5,48608.42,3133.64,1,0,1,1.730105762808583,0.773604243873798,0,0
56,0,High School,5119.08,Unemployed,0.29,580,2855.15,12.38,36,95.35,5,40047.57,34659.95,3,0,4,21.515142812111446,10.38563388490238,1,4
57,1,Master's,1947.07,Employed,0.1,785,19723.17,11.29,60,431.69,3,17727.96,2849.65,2,0,3,1.1846391832550245,1.9289190634455404,2,0
59,1,Other,1770.44,Self-employed,0.36,652,17952.71,13.23,36,606.89,8,30292.09,14114.73,6,0,7,1.1834023944017364,5.591451761829574,3,2
60,1,Bachelor's,1798.03,Employed,0.15,587,22296.51,15.06,36,773.57,4,19484.61,15244.96,2,0,3,0.9677012231959173,9.388923873764986,0,0
61,1,Bachelor's,5609.46,Employed,0.1,605,5207.8,12.71,60,117.72,7,83247.84,78866.44,2,0,2,12.92551941318791,11.368430460177706,0,0
62,1,High School,2608.27,Retired,0.22,707,13459.01,13.32,36,455.56,6,50804.49,35883.45,1,0,1,2.3255231997004238,8.475656383914098,1,1
63,1,Bachelor's,3372.07,Unemployed,0.17,791,22931.8,8.65,36,725.5,7,50221.45,28359.14,0,1,0,1.7645732127438756,6.776181890407386,0,4
64,1,Bachelor's,2256.73,Employed,0.09,708,41679.04,11.1,60,908.28,2,34160.51,26050.45,1,0,2,0.6497452916381952,9.151075320596794,0,0
65,1,Master's,2418.29,Self-employed,0.32,682,12183.94,10.89,36,398.25,3,45826.67,31322.33,3,0,4,2.3817812628755557,8.201947905008154,2,2
66,1,High School,3732.87,Employed,0.09,733,2044.83,10.44,36,66.4,4,47189.73,11009.78,1,0,1,21.90619269083494,2.799705783440592,1,0
67,1,Bachelor's,6488.5,Employed,0.05,662,6954.56,13.02,36,234.39,4,54523.53,38221.83,2,0,2,11.195819721161367,8.412183877309484,0,0
68,1,Bachelor's,3291.86,Employed,0.29,667,27060.87,14.72,36,934.37,7,55874.14,3656.01,4,1,6,1.4597579456979766,0.7851954410394505,0,0
69,1,High School,3914.14,Employed,0.03,732,17320.78,11.36,36,570.02,3,34070.61,10824.32,1,0,1,2.711753165850499,3.8124307137441917,1,0
70,1,High School,5453.84,Employed,0.06,665,15303.67,11.86,36,507.28,3,60655.76,30859.15,3,0,3,4.276495768662027,6.10510526947482,1,0
71,1,Bachelor's,2289.32,Self-employed,0.08,798,30714.91,6.49,36,941.24,6,42637.75,16777.8,3,0,3,0.89441382051909,4.7219564822252575,0,2
72,1,Bachelor's,1681.68,Employed,0.35,646,10419.48,10.43,60,223.59,8,27728.17,15539.42,3,0,3,1.936772276543551,6.725039553638052,0,0
73,1,Bachelor's,1636.91,Employed,0.09,645,20987.63,14.86,60,497.75,9,23777.34,11799.41,3,0,4,0.9359284492817913,5.954952067809098,0,0
74,1,Bachelor's,1778.43,Employed,0.25,594,9605.16,14.35,36,329.92,9,27770.2,23301.94,2,0,2,2.2218432592481543,10.069184953655355,0,0
75,1,High School,1617.66,Employed,0.12,686,11636.29,12.94,36,391.74,6,29245.95,13529.88,0,0,1,1.6682224317200758,5.551488667661676,1,0
76,1,High School,5854.39,Employed,0.29,816,14260.74,7.82,36,445.7,5,88552.78,10801.64,2,0,3,4.9262997572356,1.4637561915052242,1,0
77,1,High School,977.03,Employed,0.27,796,4185.81,7.13,36,129.49,4,12229.12,4101.02,2,0,2,2.800977588567087,4.024184896378481,1,0
78,1,High School,4313.72,Employed,0.2,714,3953.41,12.7,60,89.35,6,60246.37,3268.62,2,0,3,13.093668503899165,0.6510506774101079,1,0
79,1,Master's,1451.03,Employed,0.13,692,12889.65,15.25,36,448.4,2,14588.51,2282.6,2,0,2,1.3508791937717473,1.8775872244663778,2,0
81,1,High School,3852.99,Employed,0.24,723,23461.16,7.59,36,730.76,6,34847.81,6069.86,1,0,1,1.9707414296650292,2.0901835725114433,1,0
82,1,High School,1788.96,Employed,0.1,632,4489.55,16.43,36,158.79,4,26864.2,16248.31,6,2,6,4.781664086601107,7.257976042465437,1,0
83,1,Bachelor's,2186.6,Self-employed,0.07,731,22433.03,9.6,36,719.65,3,19450.13,9693.8,2,0,3,1.1696681188408342,5.980710668771879,0,2
84,1,Bachelor's,2877.83,Employed,0.25,746,15912.88,14.25,36,545.8,8,30213.25,13875.49,2,0,3,2.170189180085566,5.5110218198969,0,0
85,1,High School,4431.43,Employed,0.41,850,10942.58,11.09,36,358.71,5,33860.39,20911.03,3,0,4,4.859654670105222,7.410793555537901,1,0
86,1,High School,3702.08,Employed,0.15,661,17284.88,15.05,36,599.61,5,66695.67,46016.26,0,0,0,2.5701630558036848,8.279324879711082,1,0
87,1,Other,3001.92,Employed,0.13,724,17092.49,10.05,60,363.59,1,44626.95,42350.14,2,0,2,2.1075361167389888,11.387775324103485,3,0
88,1,PhD,1980.21,Retired,0.18,726,8737.08,11.16,36,286.7,2,22467.31,21216.64,0,0,0,2.7197324506585727,11.33200547818141,4,1
89,1,Master's,2543.23,Employed,0.14,662,15806.45,14.32,60,370.42,1,38897.78,9318.21,3,0,3,1.9307788908958052,2.874676138329745,2,0
90,1,High School,6769.89,Retired,0.12,726,12676.02,12.8,36,425.89,10,95993.99,20371.93,3,0,3,6.408847572029707,2.5466506809436713,1,1
92,1,Bachelor's,5864.51,Retired,0.12,722,26516.78,12.82,36,891.16,8,82886.3,43536.92,2,0,3,2.6539466707496158,6.303128985127819,0,1
93,1,High School,1705.17,Employed,0.3,624,6709.69,15.0,36,232.59,5,16745.3,5389.47,2,0,3,3.04962524349113,3.8621965566457455,1,0
94,0,Bachelor's,7148.84,Employed,0.1,580,10023.24,14.77,36,346.33,5,64606.93,50781.58,7,0,7,8.558717540436026,9.43209900238256,0,0
95,0,Bachelor's,2481.67,Unemployed,0.27,658,15067.38,12.46,36,503.77,2,28543.79,24712.6,5,0,5,1.976457751779009,10.38934213010956,0,4
96,1,Bachelor's,3032.14,Retired,0.24,667,24986.54,16.37,60,612.55,5,48293.63,22394.54,1,0,1,1.4562112241230678,5.5645947509019305,0,1
97,1,Bachelor's,1419.06,Self-employed,0.13,663,5745.56,9.16,60,119.72,1,14089.69,4339.74,0,0,0,2.963805094716616,3.696098352767165,0,2
98,1,Bachelor's,3239.74,Employed,0.38,615,20487.12,11.77,60,453.35,6,59399.96,19005.73,6,0,6,1.8976254349073955,3.8395439996929293,0,0
99,1,Master's,1889.44,Unemployed,0.11,736,500.0,13.82,36,17.05,8,34360.55,2890.97,2,0,2,45.34656,1.0096357596138594,2,4
100,1,Master's,6908.0,Employed,0.08,677,22705.0,12.9,60,515.45,2,77481.84,24865.82,1,0,2,3.6510019819423034,3.8510938821277345,2,0
102,1,Bachelor's,3023.39,Employed,0.04,653,13374.14,13.56,36,454.24,4,44742.77,34166.82,1,0,2,2.712748632809287,9.163532789766927,0,0
103,1,Master's,4029.49,Employed,0.14,754,11531.97,9.5,36,369.4,4,55296.81,19797.51,1,0,1,4.193028597889173,4.296271701749161,2,0
104,1,Other,2516.09,Self-employed,0.18,776,13049.15,11.68,36,431.43,5,21257.67,11193.84,0,0,1,2.313796684075208,6.318946526124455,3,2
105,1,Bachelor's,3252.15,Self-employed,0.1,638,21653.22,13.41,60,497.23,5,45509.05,21697.73,2,0,2,1.8023093101164631,5.721340260893163,0,2
106,1,Bachelor's,2122.45,Employed,0.21,713,902.21,13.04,36,30.42,11,46160.12,37115.36,4,0,5,28.230012968155968,9.648682022490409,0,0
107,1,Master's,3647.82,Employed,0.19,713,25948.79,10.74,60,560.83,7,46134.09,33901.16,2,0,2,1.6869318376695022,8.818076177507784,2,0
108,1,Bachelor's,3851.34,Employed,0.05,580,9054.32,15.31,36,315.25,6,43173.83,2767.96,4,0,5,5.1043126375034245,0.7693438363008333,0,0
109,1,Master's,3620.51,Self-employed,0.11,738,32992.76,11.77,36,1092.21,2,42260.9,21293.86,2,0,4,1.316837997184837,6.046400336954489,2,2
110,1,Master's,4736.61,Employed,0.06,702,11700.41,11.53,36,386.0,3,75474.13,5677.84,2,1,7,4.857891304663682,0.9027474712196086,2,0
111,1,Master's,2432.01,Self-employed,0.01,631,6996.65,15.53,36,244.36,4,24219.14,14989.18,0,0,0,4.1711561961796,7.426777333959835,2,2
113,0,High School,2045.88,Student,0.47,680,17972.01,11.58,36,593.33,5,37601.82,11264.4,2,0,2,1.3660441987290237,3.5948472706906207,1,3
114,1,Bachelor's,2033.09,Employed,0.13,725,12732.53,11.55,36,420.17,1,27122.83,7160.96,1,0,2,1.9161219333471036,3.168235763008506,0,0
115,1,High School,668.88,Employed,0.28,671,500.0,12.16,60,11.16,3,12118.92,4197.59,3,0,3,16.05312,4.156400075254231,1,0
116,1,Bachelor's,4771.43,Employed,0.09,591,11414.78,14.9,36,395.14,3,72768.6,50462.17,1,0,3,5.016054623917412,8.321529340952004,0,0
117,1,Master's,544.0,Employed,0.3,703,28674.36,16.5,60,704.95,3,10847.7,5992.38,0,0,0,0.22765983268676265,6.6289222600182525,2,0
118,1,Bachelor's,2465.33,Self-employed,0.04,661,35661.52,12.77,36,1197.63,7,49860.88,46503.47,4,0,5,0.8295765295478151,11.191973346639692,0,2
119,0,High School,1927.23,Employed,0.24,685,40266.07,16.09,36,1417.43,5,22703.42,7463.51,5,0,6,0.574348576853912,3.9448735036395397,1,0
120,0,Bachelor's,1276.5,Employed,0.09,697,14930.8,15.31,36,519.85,6,15816.69,8769.82,0,0,0,1.0259329707718274,6.653594399333868,0,0
121,1,High School,3144.82,Employed,0.21,787,24161.05,10.13,60,514.9,5,55270.55,18158.03,1,0,1,1.561928806902018,3.9423591768129675,1,0
123,0,Master's,4689.44,Unemployed,0.24,767,16836.33,12.55,36,563.64,5,86448.37,28158.83,0,0,1,3.342372120289873,3.9087603386853913,2,4
124,1,Master's,1914.74,Employed,0.05,748,20935.37,10.85,60,453.62,5,34351.47,13390.86,2,0,2,1.0975148755431599,4.677829507732857,2,0
126,1,High School,1949.62,Employed,0.04,760,17757.35,11.02,60,386.26,4,35729.24,31848.96,2,0,2,1.3175073983449108,10.696771607792387,1,0
127,1,PhD,5832.78,Employed,0.05,613,18166.22,13.94,36,620.35,4,78726.72,53894.97,1,0,2,3.852940237429691,8.214995366249223,4,0
128,0,High School,1066.89,Unemployed,0.2,713,17686.21,12.36,60,396.65,7,22636.41,5332.47,4,0,4,0.7238792256792157,2.8268457763399764,1,4
129,1,Bachelor's,2632.61,Self-employed,0.03,624,25134.1,14.64,60,593.2,6,42503.57,35038.75,1,0,3,1.2569107308397756,9.892463150742396,0,2
130,1,Master's,1483.11,Employed,0.23,672,7638.21,10.85,36,249.52,5,18506.03,15207.83,2,0,2,2.3300380586551035,9.861324119759884,2,0
132,1,Bachelor's,1997.63,Employed,0.19,694,10849.28,10.69,60,234.22,7,40822.55,30211.99,0,0,0,2.2095069903256253,8.880970933956844,0,0
133,1,High School,1640.08,Employed,0.05,665,18419.66,12.09,36,612.59,7,34057.72,9232.0,1,0,2,1.068475748195135,3.2528307825655975,1,0
134,1,Other,4000.52,Self-employed,0.19,692,21910.74,10.32,36,710.29,7,59243.34,34559.18,4,0,6,2.190991267296312,7.000114443243747,3,2
135,1,Bachelor's,2605.32,Retired,0.35,641,8325.04,14.87,36,288.06,2,25772.75,14372.85,5,0,6,3.7553981722610343,6.692114733584892,0,1
137,1,Bachelor's,3642.23,Employed,0.19,710,30605.55,12.79,36,1028.13,3,57003.45,17797.96,2,0,3,1.428066478138769,3.7467121726842847,0,0
138,1,High School,3147.33,Employed,0.21,730,15727.55,12.02,60,350.01,4,34031.43,18092.33,2,0,3,2.4013886460383214,6.379630829500847,1,0
139,0,Bachelor's,4662.68,Unemployed,0.31,522,22775.29,13.49,36,772.78,7,47313.35,44290.09,4,0,6,2.45670461276234,11.233215995062704,0,4
140,1,Bachelor's,2649.2,Unemployed,0.1,729,9133.98,12.2,36,304.25,7,51085.86,15990.65,0,0,2,3.480454303600402,3.7561822390775057,0,4
141,1,High School,3490.77,Employed,0.07,575,13429.31,15.86,36,471.21,8,42875.76,2857.69,3,0,3,3.119239931165488,0.7998057643759551,1,0
142,0,High School,1830.88,Student,0.13,669,17696.95,13.77,36,602.86,4,22972.57,12143.9,2,0,2,1.2414885050813842,6.343513155036637,1,3
143,0,High School,2083.87,Employed,0.21,666,13980.08,10.93,36,457.23,6,29477.08,21255.53,3,0,4,1.7887193778576373,8.653040260432851,1,0
144,1,High School,1748.99,Employed,0.07,533,10636.93,11.9,60,236.08,2,21867.47,6563.79,0,0,1,1.9731144230525162,3.6019475504024925,1,0
145,1,Bachelor's,3824.79,Employed,0.21,810,14204.0,11.04,60,309.11,8,52541.02,7091.68,4,0,5,3.231306674176288,1.6196899108544145,0,0
146,1,Master's,2030.34,Employed,0.05,633,7313.37,10.67,36,238.29,9,23793.91,22281.05,2,0,4,3.33144364362804,11.237018211802935,2,0
147,0,High School,4831.6,Employed,0.26,629,13254.56,11.96,60,294.57,5,39471.0,7133.06,0,0,0,4.374283265532768,2.1685977046439158,1,0
148,1,High School,1800.39,Unemployed,0.01,850,3523.01,6.45,60,68.85,3,25346.6,11315.85,1,0,2,6.1324492408480245,5.357333922498482,1,4
149,0,Bachelor's,1694.11,Unemployed,0.12,556,11670.94,14.24,36,400.25,6,16834.64,2439.02,2,0,3,1.7418751188850254,1.7385723722039794,0,4
150,1,Bachelor's,3491.97,Employed,0.02,673,13321.75,12.12,36,443.24,4,36750.32,16547.05,1,0,2,3.1455056580404226,5.4030713201953064,0,0
151,1,Master's,3288.62,Retired,0.07,702,14200.63,7.34,36,440.69,2,36171.7,4237.42,2,0,3,2.778992199641847,1.4057685981029369,2,1
152,1,Other,5060.7,Retired,0.3,674,9172.36,13.92,36,313.13,6,46604.94,14282.98,5,0,5,6.620804242310593,3.6776307404322375,3,1
153,1,Bachelor's,1488.74,Employed,0.2,575,7827.92,14.64,36,269.98,3,27040.07,17294.38,3,2,3,2.282200124681908,7.675000841343976,0,0
154,0,High School,1202.34,Unemployed,0.25,630,13289.06,13.78,36,452.77,4,14417.15,4852.01,1,0,2,1.0857111037199019,4.03853188737025,1,4
155,1,High School,6277.78,Employed,0.16,702,14285.8,11.79,36,473.06,5,78223.78,51872.95,2,0,2,5.273303560178639,7.957623628006726,1,0
156,1,High School,1342.81,Employed,0.19,745,15574.09,11.79,36,515.72,3,19793.11,9171.57,1,0,3,1.0346492154597797,5.5604622012407345,1,0
157,1,Master's,4978.88,Self-employed,0.08,788,14432.59,10.93,60,313.3,7,52773.13,28746.75,4,0,4,4.13969772577202,6.536678798471875,2,2
158,1,Bachelor's,738.13,Employed,0.17,673,11581.36,11.9,36,384.11,4,9029.37,4735.24,2,0,2,0.764811731955487,6.2931167955239395,0,0
159,1,High School,4255.12,Employed,0.12,740,9598.11,13.89,36,327.53,4,50566.47,18079.22,3,0,3,5.319947364637413,4.290405084634146,1,0
160,0,Master's,3005.97,Employed,0.27,751,24719.93,10.54,36,803.92,6,48786.47,10166.8,1,0,1,1.4592128699393565,2.5007261234518503,2,0
161,1,Master's,3858.18,Unemployed,0.1,762,26749.81,9.15,36,852.51,6,62200.04,36801.33,6,0,6,1.7307846298721372,7.099930482359818,2,4
162,1,PhD,4795.96,Employed,0.2,673,15596.14,13.65,60,360.07,6,37009.51,9612.28,1,0,1,3.6901130664382347,3.116695141329891,4,0
163,1,High School,5342.59,Employed,0.11,703,17774.27,16.02,36,625.07,7,90089.01,26316.83,2,0,2,3.606959948284796,3.505443782765512,1,0
164,1,High School,4000.19,Retired,0.19,708,25727.88,11.01,60,559.51,2,51987.82,22592.25,2,0,4,1.865768963474643,5.2148176245897595,1,1
165,1,High School,4994.44,Retired,0.17,708,8470.53,10.45,36,275.11,3,84833.15,48869.37,3,0,3,7.075505310765678,6.912774546271123,1,1
166,1,Bachelor's,5936.69,Employed,0.12,760,5661.45,7.97,36,177.33,4,45137.9,28820.19,0,1,1,12.583398246032377,7.661904519262083,0,0
167,1,Bachelor's,6500.84,Employed,0.33,673,7537.98,12.12,60,168.14,5,104519.18,87016.67,2,0,4,10.348936983117493,9.990511215262119,0,0
168,1,Master's,4130.87,Employed,0.18,709,35531.62,9.57,36,1139.35,4,58663.28,43543.34,1,2,1,1.3951077941281596,8.907106455690851,2,0
169,1,High School,1714.28,Self-employed,0.08,700,15518.16,12.62,60,350.07,7,35486.31,22404.15,0,0,0,1.3256313892884208,7.5761554244439635,1,2
170,1,Bachelor's,2602.75,Retired,0.03,592,12562.86,13.47,36,426.14,5,43079.32,37284.11,0,0,0,2.48613771068053,10.385709895142263,0,1
171,1,Master's,2851.38,Employed,0.03,673,27535.96,8.91,36,874.48,5,50924.91,22154.73,1,1,1,1.2426136586485454,5.22056416005448,2,0
172,1,High School,2012.68,Employed,0.05,734,32697.14,10.73,60,706.52,5,33113.13,3205.98,1,0,1,0.738662769893636,1.1618279516312715,1,0
173,1,High School,1521.28,Self-employed,0.07,702,8302.32,10.36,36,269.3,8,33369.62,18978.33,1,0,1,2.1988263521521696,6.824769356078972,1,2
174,1,Bachelor's,5272.33,Self-employed,0.36,580,2853.44,15.57,36,99.71,5,42623.04,6497.6,5,0,5,22.172521587978018,1.8293204801909955,0,2
175,1,Master's,3623.75,Employed,0.1,721,13430.74,11.02,36,439.83,5,30642.37,7341.72,4,0,4,3.237721823220463,2.8751248679524464,2,0
176,1,Other,2026.01,Employed,0.09,721,8580.05,10.22,36,277.74,1,34579.2,24965.3,1,0,1,2.833563906970239,8.663693781232649,3,0
177,1,Master's,3095.52,Employed,0.15,704,15169.04,13.76,60,351.07,6,24684.5,17115.22,4,0,4,2.448819437485826,8.320307885515202,2,0
178,1,Master's,3624.87,Self-employed,0.08,776,33826.74,8.72,60,697.6,2,28534.88,17990.91,2,0,3,1.2859187731362822,7.565860448685958,2,2
179,1,Bachelor's,1514.67,Employed,0.13,751,16153.24,10.3,36,523.5,3,13810.26,1215.09,1,0,1,1.1252256513244403,1.055815024481798,0,0
180,1,High School,1874.53,Employed,0.12,641,7308.52,11.96,60,162.43,5,38192.02,26763.33,1,0,2,3.0778269745447777,8.409085458166393,1,0
181,1,Master's,2506.6,Employed,0.05,730,1584.44,14.43,36,54.48,0,24329.34,5618.75,2,0,2,18.984120572568223,2.7713452152832754,2,0
182,1,Other,2757.7,Student,0.11,768,9876.9,8.73,36,312.84,3,24932.07,17409.74,2,0,2,3.3504844637487468,8.37944382476064,3,3
183,0,Bachelor's,1162.14,Employed,0.27,672,13767.29,13.17,36,465.0,2,11013.11,6508.75,3,0,4,1.012957524683507,7.092002168324842,0,0
184,1,Bachelor's,4734.63,Employed,0.25,755,1622.55,8.87,36,51.5,2,73342.4,67806.39,3,0,4,35.01621521678839,11.094219441959902,0,0
