loan_paid_back,education_level,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies
1,"High School",1101.71,Self-employed,0.12,709,9692.30,13.68,36,329.76,6,23805.97,19098.49,2,0,3
1,"High School",1411.39,Employed,0.43,705,18627.46,13.52,36,632.31,3,25978.62,15219.35,1,0,1
1,Bachelor's,3163.11,Employed,0.14,739,9656.48,8.71,36,305.77,4,46657.36,37539.24,2,0,3
1,"High School",657.01,Employed,0.22,692,5772.28,12.26,36,192.44,9,18319.12,16782.77,0,0,1
1,Bachelor's,1501.20,Employed,0.21,702,11345.92,13.82,60,262.94,5,30467.37,27089.20,0,0,1
1,PhD,4037.81,Employed,0.20,610,5285.92,10.52,60,113.67,1,32166.14,21365.30,5,0,7
0,Other,2328.70,Self-employed,0.13,553,6268.32,15.01,36,217.32,3,40793.67,23122.33,2,0,3
1,Bachelor's,1043.07,Employed,0.56,818,10469.04,10.09,36,338.25,6,20412.01,17283.32,3,0,3
1,Bachelor's,2072.06,Employed,0.11,629,6321.47,9.89,36,203.65,5,23358.63,18679.74,4,0,4
0,Other,2854.07,Employed,0.09,685,10673.12,11.68,36,352.87,7,45509.72,21928.41,0,1,1
1,Bachelor's,5317.14,Employed,0.20,657,22298.23,14.12,36,763.40,7,61717.59,54000.53,4,0,4
0,Other,3974.96,Unemployed,0.22,806,23171.53,7.34,36,719.08,5,75385.65,47058.83,3,0,5
1,PhD,3890.38,Employed,0.10,717,13275.22,13.28,36,449.09,6,36244.87,9210.08,0,0,0
1,"High School",4660.56,Self-employed,0.09,727,20613.20,13.75,60,476.97,4,77521.80,6832.02,0,0,2
1,"High School",1107.98,Employed,0.12,623,13225.93,15.11,36,459.19,4,12599.76,8654.39,3,0,3
1,Bachelor's,6385.57,Employed,0.15,750,8606.43,11.97,36,285.73,8,115966.90,6219.90,3,0,4
1,Master's,6395.70,Retired,0.16,759,2284.88,10.14,36,73.88,5,116481.63,42562.91,1,0,1
1,Master's,2096.09,Self-employed,0.04,719,17789.74,14.53,36,612.60,5,40551.35,12079.77,2,0,2
0,Bachelor's,501.58,Unemployed,0.10,602,26387.55,16.30,36,931.62,5,9863.04,9349.22,0,0,1
1,"High School",6719.53,Self-employed,0.24,693,22884.38,8.01,60,464.12,4,76328.19,53751.23,5,0,6
1,"High School",580.76,Employed,0.21,727,23939.96,10.73,60,517.29,4,8478.63,496.35,4,0,5
1,Other,3797.62,Employed,0.14,714,8316.32,11.87,60,184.45,5,70307.77,9683.34,0,0,1
1,Bachelor's,2308.97,Employed,0.07,673,10351.45,14.60,36,356.81,8,35407.59,25604.13,2,0,2
1,Bachelor's,2109.52,Employed,0.11,608,21421.74,14.44,60,503.35,4,24710.54,7157.97,1,0,2
0,PhD,2335.12,Employed,0.18,697,10606.79,12.62,36,355.45,7,33526.47,1683.26,3,0,3
1,Master's,3277.01,Employed,0.17,593,15284.49,16.08,36,537.96,7,46987.90,15402.09,3,0,3
1,Bachelor's,836.04,Employed,0.10,643,19958.98,13.91,60,463.48,10,15232.58,1401.49,2,0,2
0,Bachelor's,2699.08,Unemployed,0.44,598,18787.69,17.06,36,670.39,6,40836.89,32116.05,4,0,4
1,Master's,1284.79,Employed,0.09,665,500.00,13.79,36,17.04,7,26456.98,3470.30,4,0,7
1,Bachelor's,2236.66,Employed,0.04,658,33869.00,16.64,36,1201.46,4,38585.50,20053.96,2,0,3
1,Bachelor's,3335.06,Employed,0.07,655,23131.95,14.15,60,540.04,5,48608.42,3133.64,1,0,1
0,"High School",5119.08,Unemployed,0.29,580,2855.15,12.38,36,95.35,5,40047.57,34659.95,3,0,4
1,Master's,1947.07,Employed,0.10,785,19723.17,11.29,60,431.69,3,17727.96,2849.65,2,0,3
1,Other,8859.83,Employed,0.11,648,9020.84,14.01,36,308.35,6,90450.17,4818.95,1,0,3
1,Other,1770.44,Self-employed,0.36,652,17952.71,13.23,36,606.89,8,30292.09,14114.73,6,0,7
1,Bachelor's,1798.03,Employed,0.15,587,22296.51,15.06,36,773.57,4,19484.61,15244.96,2,0,3
1,Bachelor's,5609.46,Employed,0.10,605,5207.80,12.71,60,117.72,7,83247.84,78866.44,2,0,2
1,"High School",2608.27,Retired,0.22,707,13459.01,13.32,36,455.56,6,50804.49,35883.45,1,0,1
1,Bachelor's,3372.07,Unemployed,0.17,791,22931.80,8.65,36,725.50,7,50221.45,28359.14,0,1,0
1,Bachelor's,2256.73,Employed,0.09,708,41679.04,11.10,60,908.28,2,34160.51,26050.45,1,0,2
1,Master's,2418.29,Self-employed,0.32,682,12183.94,10.89,36,398.25,3,45826.67,31322.33,3,0,4
1,"High School",3732.87,Employed,0.09,733,2044.83,10.44,36,66.40,4,47189.73,11009.78,1,0,1
1,Bachelor's,6488.50,Employed,0.05,662,6954.56,13.02,36,234.39,4,54523.53,38221.83,2,0,2
1,Bachelor's,3291.86,Employed,0.29,667,27060.87,14.72,36,934.37,7,55874.14,3656.01,4,1,6
1,"High School",3914.14,Employed,0.03,732,17320.78,11.36,36,570.02,3,34070.61,10824.32,1,0,1
1,"High School",5453.84,Employed,0.06,665,15303.67,11.86,36,507.28,3,60655.76,30859.15,3,0,3
1,Bachelor's,2289.32,Self-employed,0.08,798,30714.91,6.49,36,941.24,6,42637.75,16777.80,3,0,3
1,Bachelor's,1681.68,Employed,0.35,646,10419.48,10.43,60,223.59,8,27728.17,15539.42,3,0,3
1,Bachelor's,1636.91,Employed,0.09,645,20987.63,14.86,60,497.75,9,23777.34,11799.41,3,0,4
1,Bachelor's,1778.43,Employed,0.25,594,9605.16,14.35,36,329.92,9,27770.20,23301.94,2,0,2
1,"High School",1617.66,Employed,0.12,686,11636.29,12.94,36,391.74,6,29245.95,13529.88,0,0,1
1,"High School",5854.39,Employed,0.29,816,14260.74,7.82,36,445.70,5,88552.78,10801.64,2,0,3
1,"High School",977.03,Employed,0.27,796,4185.81,7.13,36,129.49,4,12229.12,4101.02,2,0,2
1,"High School",4313.72,Employed,0.20,714,3953.41,12.70,60,89.35,6,60246.37,3268.62,2,0,3
1,Master's,1451.03,Employed,0.13,692,12889.65,15.25,36,448.40,2,14588.51,2282.60,2,0,2
1,"High School",8864.82,Employed,0.14,575,10809.07,12.45,36,361.34,4,93921.55,44205.03,3,0,3
1,"High School",3852.99,Employed,0.24,723,23461.16,7.59,36,730.76,6,34847.81,6069.86,1,0,1
1,"High School",1788.96,Employed,0.10,632,4489.55,16.43,36,158.79,4,26864.20,16248.31,6,2,6
1,Bachelor's,2186.60,Self-employed,0.07,731,22433.03,9.60,36,719.65,3,19450.13,9693.80,2,0,3
1,Bachelor's,2877.83,Employed,0.25,746,15912.88,14.25,36,545.80,8,30213.25,13875.49,2,0,3
1,"High School",4431.43,Employed,0.41,850,10942.58,11.09,36,358.71,5,33860.39,20911.03,3,0,4
1,"High School",3702.08,Employed,0.15,661,17284.88,15.05,36,599.61,5,66695.67,46016.26,0,0,0
1,Other,3001.92,Employed,0.13,724,17092.49,10.05,60,363.59,1,44626.95,42350.14,2,0,2
1,PhD,1980.21,Retired,0.18,726,8737.08,11.16,36,286.70,2,22467.31,21216.64,0,0,0
1,Master's,2543.23,Employed,0.14,662,15806.45,14.32,60,370.42,1,38897.78,9318.21,3,0,3
1,"High School",6769.89,Retired,0.12,726,12676.02,12.80,36,425.89,10,95993.99,20371.93,3,0,3
1,Bachelor's,10849.79,Unemployed,0.06,693,18042.75,11.53,36,595.24,3,165401.50,76121.42,1,0,2
1,Bachelor's,5864.51,Retired,0.12,722,26516.78,12.82,36,891.16,8,82886.30,43536.92,2,0,3
1,"High School",1705.17,Employed,0.30,624,6709.69,15.00,36,232.59,5,16745.30,5389.47,2,0,3
0,Bachelor's,7148.84,Employed,0.10,580,10023.24,14.77,36,346.33,5,64606.93,50781.58,7,0,7
0,Bachelor's,2481.67,Unemployed,0.27,658,15067.38,12.46,36,503.77,2,28543.79,24712.60,5,0,5
1,Bachelor's,3032.14,Retired,0.24,667,24986.54,16.37,60,612.55,5,48293.63,22394.54,1,0,1
1,Bachelor's,1419.06,Self-employed,0.13,663,5745.56,9.16,60,119.72,1,14089.69,4339.74,0,0,0
1,Bachelor's,3239.74,Employed,0.38,615,20487.12,11.77,60,453.35,6,59399.96,19005.73,6,0,6
1,Master's,1889.44,Unemployed,0.11,736,500.00,13.82,36,17.05,8,34360.55,2890.97,2,0,2
1,Master's,6908.00,Employed,0.08,677,22705.00,12.90,60,515.45,2,77481.84,24865.82,1,0,2
0,Bachelor's,13927.52,Unemployed,0.27,804,26375.58,9.35,60,552.00,5,183155.12,12117.19,3,0,4
1,Bachelor's,3023.39,Employed,0.04,653,13374.14,13.56,36,454.24,4,44742.77,34166.82,1,0,2
1,Master's,4029.49,Employed,0.14,754,11531.97,9.50,36,369.40,4,55296.81,19797.51,1,0,1
1,Other,2516.09,Self-employed,0.18,776,13049.15,11.68,36,431.43,5,21257.67,11193.84,0,0,1
1,Bachelor's,3252.15,Self-employed,0.10,638,21653.22,13.41,60,497.23,5,45509.05,21697.73,2,0,2
1,Bachelor's,2122.45,Employed,0.21,713,902.21,13.04,36,30.42,11,46160.12,37115.36,4,0,5
1,Master's,3647.82,Employed,0.19,713,25948.79,10.74,60,560.83,7,46134.09,33901.16,2,0,2
1,Bachelor's,3851.34,Employed,0.05,580,9054.32,15.31,36,315.25,6,43173.83,2767.96,4,0,5
1,Master's,3620.51,Self-employed,0.11,738,32992.76,11.77,36,1092.21,2,42260.90,21293.86,2,0,4
1,Master's,4736.61,Employed,0.06,702,11700.41,11.53,36,386.00,3,75474.13,5677.84,2,1,7
1,Master's,2432.01,Self-employed,0.01,631,6996.65,15.53,36,244.36,4,24219.14,14989.18,0,0,0
1,Bachelor's,15199.21,Retired,0.07,651,16438.26,13.71,60,380.02,8,191394.45,88584.82,2,0,3
0,"High School",2045.88,Student,0.47,680,17972.01,11.58,36,593.33,5,37601.82,11264.40,2,0,2
1,Bachelor's,2033.09,Employed,0.13,725,12732.53,11.55,36,420.17,1,27122.83,7160.96,1,0,2
1,"High School",668.88,Employed,0.28,671,500.00,12.16,60,11.16,3,12118.92,4197.59,3,0,3
1,Bachelor's,4771.43,Employed,0.09,591,11414.78,14.90,36,395.14,3,72768.60,50462.17,1,0,3
1,Master's,544.00,Employed,0.30,703,28674.36,16.50,60,704.95,3,10847.70,5992.38,0,0,0
1,Bachelor's,2465.33,Self-employed,0.04,661,35661.52,12.77,36,1197.63,7,49860.88,46503.47,4,0,5
0,"High School",1927.23,Employed,0.24,685,40266.07,16.09,36,1417.43,5,22703.42,7463.51,5,0,6
0,Bachelor's,1276.50,Employed,0.09,697,14930.80,15.31,36,519.85,6,15816.69,8769.82,0,0,0
1,"High School",3144.82,Employed,0.21,787,24161.05,10.13,60,514.90,5,55270.55,18158.03,1,0,1
1,Master's,8737.78,Employed,0.20,580,14081.82,14.47,36,484.50,4,114548.03,19519.28,5,0,5
0,Master's,4689.44,Unemployed,0.24,767,16836.33,12.55,36,563.64,5,86448.37,28158.83,0,0,1
1,Master's,1914.74,Employed,0.05,748,20935.37,10.85,60,453.62,5,34351.47,13390.86,2,0,2
1,"High School",9988.40,Employed,0.10,623,20671.31,9.65,36,663.61,4,170150.63,76822.00,1,0,2
1,"High School",1949.62,Employed,0.04,760,17757.35,11.02,60,386.26,4,35729.24,31848.96,2,0,2
1,PhD,5832.78,Employed,0.05,613,18166.22,13.94,36,620.35,4,78726.72,53894.97,1,0,2
0,"High School",1066.89,Unemployed,0.20,713,17686.21,12.36,60,396.65,7,22636.41,5332.47,4,0,4
1,Bachelor's,2632.61,Self-employed,0.03,624,25134.10,14.64,60,593.20,6,42503.57,35038.75,1,0,3
1,Master's,1483.11,Employed,0.23,672,7638.21,10.85,36,249.52,5,18506.03,15207.83,2,0,2
0,Bachelor's,10525.67,Student,0.24,723,10559.42,11.22,36,346.80,8,132129.15,40592.19,4,0,5
1,Bachelor's,1997.63,Employed,0.19,694,10849.28,10.69,60,234.22,7,40822.55,30211.99,0,0,0
1,"High School",1640.08,Employed,0.05,665,18419.66,12.09,36,612.59,7,34057.72,9232.00,1,0,2
1,Other,4000.52,Self-employed,0.19,692,21910.74,10.32,36,710.29,7,59243.34,34559.18,4,0,6
1,Bachelor's,2605.32,Retired,0.35,641,8325.04,14.87,36,288.06,2,25772.75,14372.85,5,0,6
0,"High School",10973.79,Unemployed,0.40,677,500.00,9.11,36,15.93,10,146974.01,71521.54,3,0,3
1,Bachelor's,3642.23,Employed,0.19,710,30605.55,12.79,36,1028.13,3,57003.45,17797.96,2,0,3
1,"High School",3147.33,Employed,0.21,730,15727.55,12.02,60,350.01,4,34031.43,18092.33,2,0,3
0,Bachelor's,4662.68,Unemployed,0.31,522,22775.29,13.49,36,772.78,7,47313.35,44290.09,4,0,6
1,Bachelor's,2649.20,Unemployed,0.10,729,9133.98,12.20,36,304.25,7,51085.86,15990.65,0,0,2
1,"High School",3490.77,Employed,0.07,575,13429.31,15.86,36,471.21,8,42875.76,2857.69,3,0,3
0,"High School",1830.88,Student,0.13,669,17696.95,13.77,36,602.86,4,22972.57,12143.90,2,0,2
0,"High School",2083.87,Employed,0.21,666,13980.08,10.93,36,457.23,6,29477.08,21255.53,3,0,4
1,"High School",1748.99,Employed,0.07,533,10636.93,11.90,60,236.08,2,21867.47,6563.79,0,0,1
1,Bachelor's,3824.79,Employed,0.21,810,14204.00,11.04,60,309.11,8,52541.02,7091.68,4,0,5
1,Master's,2030.34,Employed,0.05,633,7313.37,10.67,36,238.29,9,23793.91,22281.05,2,0,4
0,"High School",4831.60,Employed,0.26,629,13254.56,11.96,60,294.57,5,39471.00,7133.06,0,0,0
1,"High School",1800.39,Unemployed,0.01,850,3523.01,6.45,60,68.85,3,25346.60,11315.85,1,0,2
0,Bachelor's,1694.11,Unemployed,0.12,556,11670.94,14.24,36,400.25,6,16834.64,2439.02,2,0,3
1,Bachelor's,3491.97,Employed,0.02,673,13321.75,12.12,36,443.24,4,36750.32,16547.05,1,0,2
1,Master's,3288.62,Retired,0.07,702,14200.63,7.34,36,440.69,2,36171.70,4237.42,2,0,3
1,Other,5060.70,Retired,0.30,674,9172.36,13.92,36,313.13,6,46604.94,14282.98,5,0,5
1,Bachelor's,1488.74,Employed,0.20,575,7827.92,14.64,36,269.98,3,27040.07,17294.38,3,2,3
0,"High School",1202.34,Unemployed,0.25,630,13289.06,13.78,36,452.77,4,14417.15,4852.01,1,0,2
1,"High School",6277.78,Employed,0.16,702,14285.80,11.79,36,473.06,5,78223.78,51872.95,2,0,2
1,"High School",1342.81,Employed,0.19,745,15574.09,11.79,36,515.72,3,19793.11,9171.57,1,0,3
1,Master's,4978.88,Self-employed,0.08,788,14432.59,10.93,60,313.30,7,52773.13,28746.75,4,0,4
1,Bachelor's,738.13,Employed,0.17,673,11581.36,11.90,36,384.11,4,9029.37,4735.24,2,0,2
1,"High School",4255.12,Employed,0.12,740,9598.11,13.89,36,327.53,4,50566.47,18079.22,3,0,3
0,Master's,3005.97,Employed,0.27,751,24719.93,10.54,36,803.92,6,48786.47,10166.80,1,0,1
1,Master's,3858.18,Unemployed,0.10,762,26749.81,9.15,36,852.51,6,62200.04,36801.33,6,0,6
1,PhD,4795.96,Employed,0.20,673,15596.14,13.65,60,360.07,6,37009.51,9612.28,1,0,1
1,"High School",5342.59,Employed,0.11,703,17774.27,16.02,36,625.07,7,90089.01,26316.83,2,0,2
1,"High School",4000.19,Retired,0.19,708,25727.88,11.01,60,559.51,2,51987.82,22592.25,2,0,4
1,"High School",4994.44,Retired,0.17,708,8470.53,10.45,36,275.11,3,84833.15,48869.37,3,0,3
1,Bachelor's,5936.69,Employed,0.12,760,5661.45,7.97,36,177.33,4,45137.90,28820.19,0,1,1
1,Bachelor's,6500.84,Employed,0.33,673,7537.98,12.12,60,168.14,5,104519.18,87016.67,2,0,4
1,Master's,4130.87,Employed,0.18,709,35531.62,9.57,36,1139.35,4,58663.28,43543.34,1,2,1
1,"High School",1714.28,Self-employed,0.08,700,15518.16,12.62,60,350.07,7,35486.31,22404.15,0,0,0
1,Bachelor's,2602.75,Retired,0.03,592,12562.86,13.47,36,426.14,5,43079.32,37284.11,0,0,0
1,Master's,2851.38,Employed,0.03,673,27535.96,8.91,36,874.48,5,50924.91,22154.73,1,1,1
1,"High School",2012.68,Employed,0.05,734,32697.14,10.73,60,706.52,5,33113.13,3205.98,1,0,1
1,"High School",1521.28,Self-employed,0.07,702,8302.32,10.36,36,269.30,8,33369.62,18978.33,1,0,1
1,Bachelor's,5272.33,Self-employed,0.36,580,2853.44,15.57,36,99.71,5,42623.04,6497.60,5,0,5
1,Master's,3623.75,Employed,0.10,721,13430.74,11.02,36,439.83,5,30642.37,7341.72,4,0,4
1,Other,2026.01,Employed,0.09,721,8580.05,10.22,36,277.74,1,34579.20,24965.30,1,0,1
1,Master's,3095.52,Employed,0.15,704,15169.04,13.76,60,351.07,6,24684.50,17115.22,4,0,4
1,Master's,3624.87,Self-employed,0.08,776,33826.74,8.72,60,697.60,2,28534.88,17990.91,2,0,3
1,Bachelor's,1514.67,Employed,0.13,751,16153.24,10.30,36,523.50,3,13810.26,1215.09,1,0,1
1,"High School",1874.53,Employed,0.12,641,7308.52,11.96,60,162.43,5,38192.02,26763.33,1,0,2
1,Master's,2506.60,Employed,0.05,730,1584.44,14.43,36,54.48,0,24329.34,5618.75,2,0,2
1,Other,2757.70,Student,0.11,768,9876.90,8.73,36,312.84,3,24932.07,17409.74,2,0,2
0,Bachelor's,1162.14,Employed,0.27,672,13767.29,13.17,36,465.00,2,11013.11,6508.75,3,0,4
1,Bachelor's,4734.63,Employed,0.25,755,1622.55,8.87,36,51.50,2,73342.40,67806.39,3,0,4
1,Bachelor's,3083.49,Employed,0.11,699,5730.12,8.42,36,180.67,5,30123.07,18992.65,1,0,1
1,Other,2607.40,Employed,0.24,601,500.00,9.66,60,10.54,4,25089.87,11868.89,1,0,3
1,"High School",1970.86,Employed,0.28,580,21619.27,10.90,36,706.76,6,26652.56,23700.47,2,0,2
1,Master's,1647.67,Employed,0.11,644,15876.01,12.54,36,531.41,5,29747.95,13625.89,0,0,4
1,Master's,3055.21,Employed,0.26,611,24443.55,13.91,60,567.62,5,39367.32,22082.94,1,0,2
1,Master's,3326.44,Unemployed,0.20,839,500.00,10.39,60,10.72,7,29595.30,7619.02,2,0,2
1,Bachelor's,9865.96,Employed,0.23,714,16994.57,11.25,36,558.39,3,86140.57,7418.29,3,0,4
1,Other,10412.45,Self-employed,0.28,611,14893.19,13.07,36,502.31,5,104566.23,88217.40,2,0,2
1,"High School",2196.36,Retired,0.08,729,500.00,15.30,36,17.41,6,20854.65,6041.15,5,0,5
1,"High School",1702.52,Employed,0.07,596,11047.84,11.44,36,364.00,9,28541.48,16211.50,1,0,2
0,Bachelor's,1415.79,Student,0.08,601,15467.16,13.50,36,524.88,7,18223.76,7049.85,0,0,1
1,"High School",3189.93,Employed,0.09,775,6153.63,11.10,60,134.10,7,28247.28,9957.60,1,0,2
1,Bachelor's,1431.43,Employed,0.28,570,500.00,17.92,36,18.06,1,24912.37,21811.24,2,0,2
1,"High School",1322.65,Unemployed,0.09,714,23343.33,10.43,60,500.93,4,22166.62,15477.12,2,0,2
1,Master's,1947.80,Employed,0.20,627,3728.03,12.05,36,123.91,6,30657.26,12432.73,2,0,2
1,Bachelor's,2099.01,Employed,0.06,675,32588.93,11.49,60,716.55,1,16001.42,14908.02,3,0,4
0,Master's,1940.87,Employed,0.28,624,7666.46,13.74,60,177.35,6,23026.20,20988.31,4,0,4
0,"High School",1146.60,Unemployed,0.25,588,28644.58,17.34,60,717.14,6,19293.43,2736.40,3,0,3
1,"High School",2865.56,Employed,0.08,554,16725.89,14.85,60,396.59,7,50707.39,43336.01,3,0,3
1,"High School",2834.79,Employed,0.06,768,24609.93,9.61,60,518.18,3,43434.96,3534.08,2,0,4
1,"High School",6752.89,Employed,0.07,843,33152.69,8.04,60,672.85,4,78848.81,47930.66,1,0,2
1,"High School",1436.32,Employed,0.32,774,10218.95,10.78,60,221.07,5,20195.44,1373.44,5,0,5
1,"High School",4150.66,Employed,0.42,761,25042.35,12.67,36,839.80,2,62399.36,39220.31,4,0,4
1,Bachelor's,8831.01,Employed,0.22,646,8500.70,11.75,36,281.33,4,62952.44,45537.45,1,0,1
1,"High School",1262.89,Employed,0.56,713,26282.16,12.30,36,876.71,3,25329.39,4584.61,0,0,0
0,Bachelor's,1573.11,Retired,0.37,575,16256.55,15.12,60,387.77,7,19656.97,6218.72,2,0,2
1,"High School",1422.75,Employed,0.31,838,21977.70,10.12,36,710.40,4,28641.20,23123.40,2,0,3
1,PhD,3957.21,Employed,0.31,556,21582.12,13.17,60,492.94,5,29959.58,17470.35,3,0,5
1,"High School",3864.64,Self-employed,0.23,720,17677.53,15.14,36,614.01,10,36576.27,16231.87,0,0,1
1,Bachelor's,5361.58,Self-employed,0.11,738,22797.96,13.38,36,772.33,4,53724.07,22939.10,0,0,1
1,Bachelor's,3173.59,Self-employed,0.11,703,7039.66,12.46,36,235.37,1,35302.50,13902.26,1,0,1
1,Master's,8916.23,Employed,0.30,697,4183.43,12.53,60,94.18,2,79290.20,6564.58,2,0,2
1,Bachelor's,4188.06,Employed,0.06,614,19712.38,13.93,60,457.96,6,57288.36,15677.37,1,0,1
1,Bachelor's,6439.77,Employed,0.15,552,19504.32,17.22,36,697.52,4,45265.75,31700.32,2,0,3
1,Bachelor's,3321.25,Employed,0.26,731,21135.25,15.14,36,734.11,3,27686.60,21315.16,1,0,3
1,Bachelor's,2400.99,Employed,0.03,749,21523.89,12.86,36,723.77,5,41353.53,17689.41,1,0,1
1,"High School",2721.68,Employed,0.29,711,23465.60,12.70,60,530.32,3,45994.26,34116.92,0,0,1
0,Bachelor's,6894.10,Employed,0.04,561,17704.32,14.12,36,606.12,4,83023.04,78320.36,1,0,1
0,Other,4874.40,Unemployed,0.08,658,17937.89,13.90,36,612.20,2,40371.30,9723.97,1,0,1
1,Bachelor's,4699.33,Student,0.09,647,32582.34,8.79,36,1032.93,4,34147.75,25088.72,1,0,1
1,Bachelor's,5488.94,Self-employed,0.18,498,18244.67,12.79,36,612.89,7,85360.50,59577.46,3,0,4
1,"High School",3546.02,Employed,0.06,666,6806.85,13.18,36,229.94,8,47019.37,32412.40,2,0,2
1,Master's,16390.66,Retired,0.10,673,6127.73,12.18,36,204.06,4,274323.16,102915.16,0,0,2
1,"High School",2645.25,Student,0.15,812,19649.34,9.35,36,628.05,2,42712.56,8910.25,0,0,2
1,"High School",3230.74,Employed,0.17,711,15870.48,12.91,36,534.05,3,47735.59,43052.17,0,0,0
0,Bachelor's,2312.07,Employed,0.26,573,13683.35,12.75,36,459.40,3,41583.38,13688.29,3,0,4
1,Bachelor's,4082.22,Employed,0.28,648,12684.09,10.17,36,410.29,1,59539.57,5543.63,3,0,3
0,Other,1053.44,Unemployed,0.11,707,13940.90,12.43,36,465.91,9,23855.80,17956.48,3,0,3
1,"High School",512.60,Employed,0.28,713,10442.12,10.72,36,340.48,7,11293.88,7678.26,1,0,1
1,Bachelor's,2053.03,Employed,0.51,797,6555.36,10.64,36,213.50,2,33017.49,17070.68,3,0,3
1,"High School",4295.59,Employed,0.05,618,12229.77,13.00,36,412.07,8,38293.13,32486.74,1,0,1
1,Master's,5602.93,Employed,0.11,766,4578.67,8.50,36,144.54,4,55827.31,30019.52,0,0,0
1,Bachelor's,1420.66,Employed,0.17,640,7693.41,12.29,36,256.60,5,23756.26,7432.49,2,0,2
1,Bachelor's,1113.71,Employed,0.05,571,13752.36,13.42,60,315.87,5,15537.62,10849.37,3,0,5
0,Bachelor's,1961.71,Unemployed,0.44,609,13537.06,15.54,36,472.85,3,19496.53,2327.53,4,0,5
1,Bachelor's,1941.13,Self-employed,0.26,687,16759.63,12.08,60,373.49,4,20545.52,9090.46,4,0,5
1,Bachelor's,3447.88,Self-employed,0.15,631,25592.40,14.68,60,604.55,3,31244.01,2095.05,2,0,2
1,Bachelor's,3262.54,Employed,0.06,779,9672.09,12.18,60,216.03,6,50971.37,3076.11,1,0,2
1,Bachelor's,7297.01,Employed,0.19,781,19154.82,8.05,36,600.68,9,80638.44,46280.27,2,0,2
1,Bachelor's,2360.92,Unemployed,0.11,748,31495.79,11.46,60,692.04,7,23299.28,13622.96,2,0,2
0,Master's,1362.71,Self-employed,0.13,568,500.00,16.20,36,17.63,8,23435.90,21374.75,2,0,3
1,Bachelor's,3634.38,Self-employed,0.22,690,12117.56,11.60,36,400.17,2,35591.51,30352.65,0,0,0
1,PhD,1695.39,Retired,0.09,662,21528.89,12.86,36,723.94,6,33285.00,24093.63,4,0,4
